2.02176E9,0,1.0,2.021794055E9,39.579077,-105.940921,143.0,0.919356,2.021794055E9,2.02176E9,34055.0,143.0,2.0,0.919356,11839.41984408452
2.02176E9,0,1.0,2.021794336E9,39.564716,-105.95086,141.0,4.774522,2.021794336E9,2.02176E9,34336.0,141.0,2.0,4.774522,10090.35614310136
2.02176E9,0,1.0,2.021794102E9,39.579022,-105.940806,145.0,6.188457,2.021794102E9,2.02176E9,34102.0,145.0,2.0,6.188457,11851.90034973324
2.02176E9,0,1.0,2.021794112E9,39.57874,-105.940732,153.0,6.537059,2.021794112E9,2.02176E9,34112.0,153.0,2.0,6.537059,11825.21067696316
2.02176E9,0,1.0,2.021794105E9,39.578932,-105.940765,145.0,6.859277,2.021794105E9,2.02176E9,34105.0,145.0,2.0,6.859277,11847.14656677272
2.02176E9,0,1.0,2.021794116E9,39.578644,-105.940723,155.0,6.924155,2.021794116E9,2.02176E9,34116.0,155.0,2.0,6.924155,11829.1300865374
2.02176E9,0,1.0,2.021794108E9,39.578839,-105.940756,153.0,7.335714,2.021794108E9,2.02176E9,34108.0,153.0,2.0,7.335714,11843.73340393384
2.02176E9,0,1.0,2.021794324E9,39.564817,-105.950857,146.0,7.808552,2.021794324E9,2.02176E9,34324.0,146.0,2.0,7.808552,10076.283744357079
2.02176E9,0,1.0,2.021794121E9,39.578429,-105.94077,154.0,10.273802,2.021794121E9,2.02176E9,34121.0,154.0,2.0,10.273802,11793.11900598872
2.02176E9,0,1.0,2.021794118E9,39.578541,-105.940762,155.0,10.4808,2.021794118E9,2.02176E9,34118.0,155.0,2.0,10.4808,11793.24531176704
2.02176E9,0,1.0,2.021794124E9,39.578315,-105.940758,155.0,11.120737,2.021794124E9,2.02176E9,34124.0,155.0,2.0,11.120737,11760.65430022544
2.02176E9,0,1.0,2.021794322E9,39.564892,-105.950732,146.0,12.011021,2.021794322E9,2.02176E9,34322.0,146.0,2.0,12.011021,10076.50212691
2.02176E9,0,1.0,2.021794128E9,39.57808,-105.940636,155.0,13.6252,2.021794128E9,2.02176E9,34128.0,155.0,2.0,13.6252,11726.23076237848
2.02176E9,0,1.0,2.021794204E9,39.571913,-105.941267,161.0,14.484368,2.021794204E9,2.02176E9,34204.0,161.0,2.0,14.484368,11027.20341389412
2.02176E9,0,1.0,2.021794126E9,39.578183,-105.940714,155.0,14.570071,2.021794126E9,2.02176E9,34126.0,155.0,2.0,14.570071,11734.803134700041
2.02176E9,0,1.0,2.021794193E9,39.572583,-105.941166,161.0,15.152327,2.021794193E9,2.02176E9,34193.0,161.0,2.0,15.152327,11143.65822077028
2.02176E9,0,1.0,2.02179413E9,39.577976,-105.940565,157.0,15.392695,2.02179413E9,2.02176E9,34130.0,157.0,2.0,15.392695,11704.58454777504
2.02176E9,0,1.0,2.021794199E9,39.572209,-105.94117,161.0,15.647393,2.021794199E9,2.02176E9,34199.0,161.0,2.0,15.647393,11077.44255920256
2.02176E9,0,1.0,2.021794136E9,39.577626,-105.940433,161.0,15.710233,2.021794136E9,2.02176E9,34136.0,161.0,2.0,15.710233,11654.54744971716
2.02176E9,0,1.0,2.021794134E9,39.57773,-105.940455,161.0,15.793899,2.021794134E9,2.02176E9,34134.0,161.0,2.0,15.793899,11675.59648254296
2.02176E9,0,1.0,2.021794189E9,39.57282,-105.941083,160.0,15.921076,2.021794189E9,2.02176E9,34189.0,160.0,2.0,15.921076,11179.90426523724
2.02176E9,0,1.0,2.021794138E9,39.577522,-105.940472,161.0,16.032272,2.021794138E9,2.02176E9,34138.0,161.0,2.0,16.032272,11649.6210420792
2.02176E9,0,1.0,2.02179414E9,39.577412,-105.940543,164.0,16.106018,2.02179414E9,2.02176E9,34140.0,164.0,2.0,16.106018,11634.5805232252
2.02176E9,0,1.0,2.021794191E9,39.57271,-105.941145,160.0,16.173038,2.021794191E9,2.02176E9,34191.0,160.0,2.0,16.173038,11162.86022925876
2.02176E9,0,1.0,2.021794197E9,39.572342,-105.941166,161.0,16.417424,2.021794197E9,2.02176E9,34197.0,161.0,2.0,16.417424,11090.28143100448
2.02176E9,0,1.0,2.021794195E9,39.572454,-105.941178,161.0,16.491753,2.021794195E9,2.02176E9,34195.0,161.0,2.0,16.491753,11104.295630928
2.02176E9,0,1.0,2.021794185E9,39.573084,-105.940929,160.0,16.540028,2.021794185E9,2.02176E9,34185.0,160.0,2.0,16.540028,11221.2230952996
2.02176E9,0,1.0,2.021794187E9,39.572952,-105.94102,160.0,16.661975,2.021794187E9,2.02176E9,34187.0,160.0,2.0,16.661975,11204.9562476662
2.02176E9,0,1.0,2.021794132E9,39.577853,-105.940491,157.0,16.809291,2.021794132E9,2.02176E9,34132.0,157.0,2.0,16.809291,11684.16181746272
2.02176E9,0,1.0,2.02179432E9,39.564937,-105.950545,146.0,16.817988,2.02179432E9,2.02176E9,34320.0,146.0,2.0,16.817988,10082.714604142919
2.02176E9,0,1.0,2.021794201E9,39.572083,-105.941192,162.0,17.270108,2.021794201E9,2.02176E9,34201.0,162.0,2.0,17.270108,11036.0965145724
2.02176E9,0,1.0,2.021794209E9,39.57162,-105.9414,162.0,17.606163,2.021794209E9,2.02176E9,34209.0,162.0,2.0,17.606163,10978.35813674052
2.02176E9,0,1.0,2.021794183E9,39.573203,-105.94083,160.0,18.686597,2.021794183E9,2.02176E9,34183.0,160.0,2.0,18.686597,11235.23578275588
2.02176E9,0,1.0,2.021794318E9,39.564978,-105.950388,147.0,18.806054,2.021794318E9,2.02176E9,34318.0,147.0,2.0,18.806054,10097.786195832561
